timestamp_iso,tof,gimbal_pitch,gimbal_yaw
2025-07-15T10:17:17.691577,200,0,0
2025-07-15T10:17:17.895895,208,0,0
2025-07-15T10:17:18.297071,216,0,0
2025-07-15T10:17:18.307799,235,0,0
2025-07-15T10:17:18.490657,247,0,0
2025-07-15T10:17:18.907410,267,0,0
2025-07-15T10:17:19.123370,363,0,0
2025-07-15T10:17:19.328102,322,0,0
2025-07-15T10:17:19.507032,288,0,0
2025-07-15T10:17:19.724030,265,0,0
2025-07-15T10:17:19.940626,248,0,0
2025-07-15T10:17:20.108480,209,0,0
2025-07-15T10:17:20.328957,198,0,0
2025-07-15T10:17:20.574905,196,0,0
2025-07-15T10:17:20.733739,196,0,90
2025-07-15T10:17:21.023545,193,0,90
2025-07-15T10:17:21.206995,195,0,90
2025-07-15T10:17:21.374121,195,0,90
2025-07-15T10:17:21.661369,195,0,90
2025-07-15T10:17:21.774175,194,0,90
2025-07-15T10:17:22.023208,195,0,90
2025-07-15T10:17:22.194858,204,0,90
2025-07-15T10:17:22.356629,214,0,90
2025-07-15T10:17:22.623131,233,0,90
2025-07-15T10:17:22.793938,254,0,90
2025-07-15T10:17:23.007913,280,0,90
2025-07-15T10:17:23.208466,360,0,90
2025-07-15T10:17:23.424894,352,0,90
2025-07-15T10:17:23.623750,302,0,90
2025-07-15T10:17:23.831156,277,0,90
2025-07-15T10:17:24.040013,259,0,90
2025-07-15T10:17:24.254942,221,0,90
2025-07-15T10:17:24.440180,209,0,90
2025-07-15T10:17:24.655199,202,0,90
2025-07-15T10:17:24.856409,202,0,0
2025-07-15T10:17:25.072814,201,0,0
2025-07-15T10:17:25.273009,202,0,0
2025-07-15T10:17:25.472307,201,0,0
2025-07-15T10:17:25.693480,127,0,0
2025-07-15T10:17:25.881465,79,0,0
2025-07-15T10:17:26.079679,6,0,0
2025-07-15T10:17:26.290351,204,0,0
2025-07-15T10:17:26.488978,212,0,0
2025-07-15T10:17:26.690953,222,0,0
2025-07-15T10:17:26.904790,240,0,0
2025-07-15T10:17:27.106039,262,0,0
2025-07-15T10:17:27.305490,293,0,0
2025-07-15T10:17:27.505811,297,0,0
2025-07-15T10:17:27.722967,266,0,0
2025-07-15T10:17:27.921145,237,0,0
2025-07-15T10:17:28.122415,216,0,0
2025-07-15T10:17:28.339130,201,0,0
2025-07-15T10:17:28.541945,188,0,0
2025-07-15T10:17:28.755055,181,0,0
2025-07-15T10:17:28.826558,177,0,0
2025-07-15T10:17:29.173904,176,0,-90
2025-07-15T10:17:29.374581,176,0,-90
2025-07-15T10:17:29.556990,176,0,-90
2025-07-15T10:17:29.773784,178,0,-90
2025-07-15T10:17:29.972279,175,0,-90
2025-07-15T10:17:30.171479,175,0,-90
2025-07-15T10:17:30.371492,178,0,-90
2025-07-15T10:17:30.590192,186,0,-90
2025-07-15T10:17:30.791021,194,0,-90
2025-07-15T10:17:30.871806,211,0,-90
2025-07-15T10:17:31.204920,228,0,-90
2025-07-15T10:17:31.410682,256,0,-90
2025-07-15T10:17:31.605123,289,0,-90
2025-07-15T10:17:31.819785,301,0,-90
2025-07-15T10:17:32.023701,276,0,-90
2025-07-15T10:17:32.221609,249,0,-90
2025-07-15T10:17:32.423235,231,0,-90
2025-07-15T10:17:32.606766,218,0,-90
2025-07-15T10:17:32.839368,206,0,-90
2025-07-15T10:17:33.048424,204,0,-90
2025-07-15T10:17:33.255715,202,0,0
2025-07-15T10:17:33.625743,201,0,0
2025-07-15T10:17:33.637798,200,0,0
2025-07-15T10:17:33.838106,200,0,0
2025-07-15T10:17:33.907017,199,0,0
